mês,data,cod_filial,cargo,faixa,quantidade,faltaEsperada
2024-05,2024-05-13,4,vigilante,till 8,0,0.0
2024-05,2024-05-13,4,vigilante,till 9,0,0.0
2024-05,2024-05-14,2,motorista,over 10,3,1.0
2024-05,2024-05-14,2,motorista,till 10,3,1.0
2024-05,2024-05-14,2,motorista,till 8,3,1.0
2024-05,2024-05-14,2,motorista,till 9,3,1.0
2024-05,2024-05-14,2,vigilante,over 10,2,1.86
2024-05,2024-05-14,2,vigilante,till 10,2,1.86
2024-05,2024-05-14,2,vigilante,till 8,2,1.86
2024-05,2024-05-14,2,vigilante,till 9,2,1.86
2024-05,2024-05-14,4,motorista,over 10,11,1.683
2024-05,2024-05-14,4,motorista,till 10,11,1.683
2024-05,2024-05-14,4,motorista,till 8,11,1.683
2024-05,2024-05-14,4,motorista,till 9,11,1.683
2024-05,2024-05-14,4,vigilante,over 10,0,0.0
2024-05,2024-05-14,4,vigilante,till 10,0,0.0
2024-05,2024-05-14,4,vigilante,till 8,0,0.0
2024-05,2024-05-14,4,vigilante,till 9,0,0.0
2024-05,2024-05-15,2,motorista,over 10,3,1.0
2024-05,2024-05-15,2,motorista,till 10,3,1.0
2024-05,2024-05-15,2,motorista,till 8,3,1.0
2024-05,2024-05-15,2,motorista,till 9,3,1.0
2024-05,2024-05-15,2,vigilante,over 10,2,1.851
2024-05,2024-05-15,2,vigilante,till 10,2,1.851
2024-05,2024-05-15,2,vigilante,till 8,2,1.851
2024-05,2024-05-15,2,vigilante,till 9,2,1.851
2024-05,2024-05-15,4,motorista,over 10,10,0.685
2024-05,2024-05-15,4,motorista,till 10,10,0.685
2024-05,2024-05-15,4,motorista,till 8,10,0.685
2024-05,2024-05-15,4,motorista,till 9,10,0.685
2024-05,2024-05-15,4,vigilante,over 10,0,0.0
2024-05,2024-05-15,4,vigilante,till 10,0,0.0
2024-05,2024-05-15,4,vigilante,till 8,0,0.0
2024-05,2024-05-15,4,vigilante,till 9,0,0.0
2024-05,2024-05-16,2,motorista,over 10,3,1.0
2024-05,2024-05-16,2,motorista,till 10,3,1.0
2024-05,2024-05-16,2,motorista,till 8,3,1.0
2024-05,2024-05-16,2,motorista,till 9,3,1.0
2024-05,2024-05-16,2,vigilante,over 10,2,1.869
2024-05,2024-05-16,2,vigilante,till 10,2,1.869
2024-05,2024-05-16,2,vigilante,till 8,2,1.869
2024-05,2024-05-16,2,vigilante,till 9,2,1.869
2024-05,2024-05-16,4,motorista,over 10,11,1.719
2024-05,2024-05-16,4,motorista,till 10,11,1.719
2024-05,2024-05-16,4,motorista,till 8,11,1.719
2024-05,2024-05-16,4,motorista,till 9,11,1.719
2024-05,2024-05-16,4,vigilante,over 10,0,0.0
2024-05,2024-05-16,4,vigilante,till 10,0,0.0
2024-05,2024-05-16,4,vigilante,till 8,0,0.0
2024-05,2024-05-16,4,vigilante,till 9,0,0.0
